scenario,scenario_label,product,product_label,day,bucket,bucket_pnl,avg_position,avg_abs_position
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,1,4,2675.0,20.746492985971944,22.54609218436874
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,1,5,2742.0,10.233466933867735,17.09118236472946
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,1,6,1969.0,6.998,22.854
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,1,7,2134.5,4.632264529058117,12.123246492985972
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,1,8,2675.5,6.744488977955911,20.31362725450902
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,1,9,2183.0,13.687,13.831
front_bias_depth_25,Front-biased depth +25%,ASH_COATED_OSMIUM,ASH,1,10,2608.0,4.926780341023069,12.38716148445336
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,1,7925.0,73.67101303911735,73.67101303911735
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,2,7828.0,74.21464393179538,74.21464393179538
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,3,7830.0,71.413,71.413
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,4,8141.0,71.73019057171514,71.73019057171514
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,5,8273.0,72.83083083083083,72.83083083083083
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,6,8352.0,74.042,74.042
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,7,8090.0,69.50550550550551,69.50550550550551
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,8,8365.5,72.92992992992993,72.92992992992993
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,9,8001.5,74.321,74.321
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,-1,10,8441.0,70.74074074074075,70.74074074074075
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,1,7798.5,74.07515030060121,74.07515030060121
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,2,7684.0,68.41382765531063,68.41382765531063
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,3,7679.5,69.84769539078157,69.84769539078157
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,4,8454.0,72.92592592592592,72.92592592592592
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,5,8330.0,70.6,70.6
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,6,7262.0,71.61847389558233,71.61847389558233
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,7,8862.0,67.387,67.387
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,8,8423.0,72.26753507014028,72.26753507014028
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,9,8511.0,73.247,73.247
front_bias_depth_25,Front-biased depth +25%,INTARIAN_PEPPER_ROOT,PEPPER,0,10,8020.0,66.32864321608041,66.32864321608041
