v,mean_pnl,std_pnl,p10,p25,p50,p75,p90,mean_multiplier,std_multiplier,p10_multiplier,p90_multiplier,mean_rank,p10_rank,p90_rank,expected_regret,p90_regret,prob_best_response,label,group
25,54698.887354243896,19330.74530722389,34161.08817714789,42473.29441686619,50785.50065658454,67409.91313602113,76553.33999971428,0.20564571428571427,0.03796874089911845,0.16530612244897958,0.24857142857143447,43.5292,40.900000000000034,46.0,152605.34875974496,180186.79998408043,0.0,Focal weight = 5%,focal_weight
26,63079.83699784645,20477.12744281574,40850.95591832466,49017.333978398834,65350.090098547065,73516.46815862118,89849.22427876946,0.22607346938775508,0.04093864447452934,0.18163265306122445,0.2795918367346939,42.278,39.0,45.0,144224.39911614236,172696.09559872048,0.0,Focal weight = 5%,focal_weight
27,65046.76748488717,20685.306023958758,39228.61741978316,47249.16730021314,63290.26706107301,79331.36682193288,95372.46658279281,0.23418775510204076,0.04210674917038391,0.18163265306122445,0.29591836734693877,41.781,38.0,45.0,142257.46862910167,171313.25056334364,0.0,Focal weight = 5%,focal_weight
28,67145.93496522923,20834.70193887549,37606.27892124164,53355.722322813206,69105.16572438471,84854.60912595628,92729.33082674202,0.24287673469387755,0.04319624387082868,0.18163265306122445,0.29591836734693877,41.2488,38.0,45.0,140158.3011487596,168460.43632937677,0.0,Focal weight = 5%,focal_weight
29,69155.19608907781,20945.13333965057,43727.732028497296,51457.85425765171,66918.0987159605,82378.34317426936,97838.58763257816,0.2516636734693878,0.04423751015962432,0.19795918367346943,0.31224489795918364,40.7106,37.0,44.0,138149.04002491105,166814.13595462948,0.0,Focal weight = 5%,focal_weight
30,77523.33970296076,21798.833980241998,49579.00510473222,64752.948739739004,79926.89237474585,95100.83600975265,102687.80782725604,0.27441959183673464,0.04690927274417879,0.2142857142857143,0.3285714285714285,39.3168,36.0,43.0,129780.89641102808,158851.4069635605,0.0,Focal weight = 5%,focal_weight
31,94096.00601020959,23047.258975779998,62587.79876351752,77475.44157522236,92363.08438692713,107250.72719863197,122138.37001033677,0.31604571428571426,0.05054954420327333,0.24693877551020404,0.37755102040816335,36.7672,33.0,41.0,113208.23010377925,142363.742551877,0.0,Focal weight = 5%,focal_weight
32,101627.63587856869,23458.299916625958,75023.99077569884,82324.66176990024,104226.67475250442,118828.01674090722,133429.35872930996,0.3390857142857143,0.052459924848580385,0.2795918367346939,0.41020408163265304,35.356,31.0,39.0,105676.60023542013,135535.0418340821,0.0,Focal weight = 5%,focal_weight
33,111850.14992497883,23646.964289104904,79730.0605587257,94045.10172382646,108360.14288892725,129832.70463657839,144147.74580167918,0.36918530612244893,0.053939472740596274,0.29591836734693877,0.4428571428571429,33.5124,29.0,38.0,95454.08618901002,124907.17585537839,0.0,Focal weight = 5%,focal_weight
34,128901.80998153289,23833.03279551242,98212.52179911066,112244.4765256537,126276.43125219666,147324.36334201123,161356.31806855422,0.41631346938775515,0.05546066062806253,0.3448979591836735,0.49183673469387756,30.6258,26.0,35.0,78402.42613245596,107278.59100943027,0.0,Focal weight = 5%,focal_weight
