day,timestamp,global_ts,equity_total,pnl_total,pnl_TOMATOES,pnl_EMERALDS
-1,647100,1647001,28092.0,28092.0,14428.0,13664.0
-1,647200,1647101,28091.0,28091.0,14427.0,13664.0
-1,647300,1647201,28092.0,28092.0,14428.0,13664.0
-1,647400,1647301,28092.0,28092.0,14428.0,13664.0
-1,647500,1647401,28093.0,28093.0,14429.0,13664.0
-1,647600,1647501,28093.0,28093.0,14429.0,13664.0
-1,647700,1647601,28093.0,28093.0,14429.0,13664.0
-1,647800,1647701,28092.0,28092.0,14428.0,13664.0
-1,647900,1647801,28093.0,28093.0,14429.0,13664.0
-1,648000,1647901,28092.0,28092.0,14428.0,13664.0
-1,648100,1648001,28093.0,28093.0,14429.0,13664.0
-1,648200,1648101,28092.0,28092.0,14428.0,13664.0
-1,648300,1648201,28090.0,28090.0,14426.0,13664.0
-1,648400,1648301,28083.0,28083.0,14419.0,13664.0
-1,648500,1648401,28086.0,28086.0,14422.0,13664.0
-1,648600,1648501,28088.0,28088.0,14424.0,13664.0
-1,648700,1648601,28099.0,28099.0,14435.0,13664.0
-1,648800,1648701,28099.0,28099.0,14435.0,13664.0
-1,648900,1648801,28099.0,28099.0,14435.0,13664.0
-1,649000,1648901,28097.0,28097.0,14433.0,13664.0
-1,649100,1649001,28095.0,28095.0,14431.0,13664.0
-1,649200,1649101,28093.0,28093.0,14429.0,13664.0
-1,649300,1649201,28095.0,28095.0,14431.0,13664.0
-1,649400,1649301,28095.0,28095.0,14431.0,13664.0
-1,649500,1649401,28097.0,28097.0,14433.0,13664.0
-1,649600,1649501,28097.0,28097.0,14433.0,13664.0
-1,649700,1649601,28091.0,28091.0,14427.0,13664.0
-1,649800,1649701,28103.0,28103.0,14439.0,13664.0
-1,649900,1649801,28089.0,28089.0,14425.0,13664.0
-1,650000,1649901,28087.0,28087.0,14423.0,13664.0
-1,650100,1650001,28087.0,28087.0,14423.0,13664.0
-1,650200,1650101,28079.0,28079.0,14415.0,13664.0
-1,650300,1650201,28089.0,28089.0,14425.0,13664.0
-1,650400,1650301,28087.0,28087.0,14423.0,13664.0
-1,650500,1650401,28085.0,28085.0,14421.0,13664.0
-1,650600,1650501,28087.0,28087.0,14423.0,13664.0
-1,650700,1650601,28086.0,28086.0,14422.0,13664.0
-1,650800,1650701,28094.0,28094.0,14430.0,13664.0
-1,650900,1650801,28142.0,28142.0,14430.0,13712.0
-1,651000,1650901,28142.0,28142.0,14430.0,13712.0
-1,651100,1651001,28143.0,28143.0,14431.0,13712.0
-1,651200,1651101,28144.0,28144.0,14432.0,13712.0
-1,651300,1651201,28145.0,28145.0,14433.0,13712.0
-1,651400,1651301,28146.0,28146.0,14434.0,13712.0
-1,651500,1651401,28146.0,28146.0,14434.0,13712.0
-1,651600,1651501,28147.0,28147.0,14435.0,13712.0
-1,651700,1651601,28145.0,28145.0,14433.0,13712.0
-1,651800,1651701,28146.0,28146.0,14434.0,13712.0
-1,651900,1651801,28144.0,28144.0,14432.0,13712.0
-1,652000,1651901,28144.0,28144.0,14432.0,13712.0
-1,652100,1652001,28146.0,28146.0,14434.0,13712.0
-1,652200,1652101,28146.0,28146.0,14434.0,13712.0
-1,652300,1652201,28147.0,28147.0,14435.0,13712.0
-1,652400,1652301,28149.0,28149.0,14437.0,13712.0
-1,652500,1652401,28148.0,28148.0,14436.0,13712.0
-1,652600,1652501,28140.0,28140.0,14428.0,13712.0
-1,652700,1652601,28148.0,28148.0,14436.0,13712.0
-1,652800,1652701,28150.0,28150.0,14438.0,13712.0
-1,652900,1652801,28149.0,28149.0,14437.0,13712.0
-1,653000,1652901,28150.0,28150.0,14438.0,13712.0
-1,653100,1653001,28148.0,28148.0,14436.0,13712.0
-1,653200,1653101,28141.0,28141.0,14429.0,13712.0
-1,653300,1653201,28147.0,28147.0,14435.0,13712.0
-1,653400,1653301,28147.0,28147.0,14435.0,13712.0
-1,653500,1653401,28169.0,28169.0,14457.0,13712.0
-1,653600,1653501,28168.5,28168.5,14456.5,13712.0
-1,653700,1653601,28169.5,28169.5,14457.5,13712.0
-1,653800,1653701,28169.5,28169.5,14457.5,13712.0
-1,653900,1653801,28170.0,28170.0,14458.0,13712.0
-1,654000,1653901,28171.0,28171.0,14459.0,13712.0
-1,654100,1654001,28172.0,28172.0,14460.0,13712.0
-1,654200,1654101,28173.5,28173.5,14461.5,13712.0
-1,654300,1654201,28173.5,28173.5,14461.5,13712.0
-1,654400,1654301,28173.5,28173.5,14461.5,13712.0
-1,654500,1654401,28173.5,28173.5,14461.5,13712.0
-1,654600,1654501,28173.5,28173.5,14461.5,13712.0
-1,654700,1654601,28174.0,28174.0,14462.0,13712.0
-1,654800,1654701,28173.0,28173.0,14461.0,13712.0
-1,654900,1654801,28172.5,28172.5,14460.5,13712.0
-1,655000,1654901,28173.0,28173.0,14461.0,13712.0
-1,655100,1655001,28185.0,28185.0,14489.0,13696.0
-1,655200,1655101,28187.5,28187.5,14491.5,13696.0
-1,655300,1655201,28203.5,28203.5,14491.5,13712.0
-1,655400,1655301,28201.0,28201.0,14489.0,13712.0
-1,655500,1655401,28211.0,28211.0,14499.0,13712.0
-1,655600,1655501,28196.0,28196.0,14484.0,13712.0
-1,655700,1655601,28211.0,28211.0,14499.0,13712.0
-1,655800,1655701,28211.0,28211.0,14499.0,13712.0
-1,655900,1655801,28213.5,28213.5,14501.5,13712.0
-1,656000,1655901,28211.0,28211.0,14499.0,13712.0
-1,656100,1656001,28211.0,28211.0,14499.0,13712.0
-1,656200,1656101,28213.5,28213.5,14501.5,13712.0
-1,656300,1656201,28211.0,28211.0,14499.0,13712.0
-1,656400,1656301,28211.0,28211.0,14499.0,13712.0
-1,656500,1656401,28208.5,28208.5,14496.5,13712.0
-1,656600,1656501,28213.5,28213.5,14501.5,13712.0
-1,656700,1656601,28214.5,28214.5,14502.5,13712.0
-1,656800,1656701,28210.5,28210.5,14498.5,13712.0
-1,656900,1656801,28213.5,28213.5,14501.5,13712.0
-1,657000,1656901,28207.5,28207.5,14495.5,13712.0
-1,657100,1657001,28210.5,28210.5,14498.5,13712.0
-1,657200,1657101,28209.5,28209.5,14497.5,13712.0
-1,657300,1657201,28209.0,28209.0,14497.0,13712.0
-1,657400,1657301,28209.5,28209.5,14497.5,13712.0
-1,657500,1657401,28210.0,28210.0,14498.0,13712.0
-1,657600,1657501,28209.5,28209.5,14497.5,13712.0
-1,657700,1657601,28240.0,28240.0,14528.0,13712.0
-1,657800,1657701,28236.0,28236.0,14524.0,13712.0
-1,657900,1657801,28238.0,28238.0,14526.0,13712.0
-1,658000,1657901,28238.0,28238.0,14526.0,13712.0
-1,658100,1658001,28238.0,28238.0,14526.0,13712.0
-1,658200,1658101,28240.0,28240.0,14528.0,13712.0
-1,658300,1658201,28240.0,28240.0,14528.0,13712.0
-1,658400,1658301,28242.0,28242.0,14530.0,13712.0
-1,658500,1658401,28244.0,28244.0,14532.0,13712.0
